Height (cm),Weight (kg),Calorie Intake,Exercise Weekly,Job,Body Type,Food Plan,Diet Explanation,Workout,Workout Info
162.62,109.7,2387,5,Accountant,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
145.32,117.35,2590,5,Teacher,Underweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
148.03,44.69,2195,5,Construction Worker,Normal,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
143.24,82.69,2907,7,Retail Salesperson,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
163.34,115.38,1608,1,Teacher,Overweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
175.38,61.49,1328,4,Office Worker,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
172.81,79.57,2527,4,Lawyer,Overweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
194.19,65.99,2751,2,Artist,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
156.85,100.51,2835,0,Chef,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
182.86,63.02,1735,6,Graphic Designer,Underweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
197.34,115.43,2717,5,Chef,Underweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
161.98,72.18,1987,7,Retail Salesperson,Overweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
191.34,65.38,2920,3,Office Worker,Overweight,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
154.89,107.5,1334,3,Lawyer,Overweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
163.99,80.89,1719,2,Graphic Designer,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",HIIT,"High-Intensity Interval Training alternates between short bursts of intense exercise and brief rest periods to maximize calorie burn and improve cardiovascular fitness. Examples include burpees, sprinting, and jump squats. Equipment: None (bodyweight exercises), or optional weights for added resistance."
159.93,73.08,2070,5,Chef,Normal,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
176.15,50.0,2069,6,Teacher,Underweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
142.83,84.57,1359,4,Plumber,Underweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
167.88,49.66,2546,7,Lawyer,Overweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
186.76,85.75,2745,1,Electrician,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
184.68,57.47,1470,3,Lawyer,Overweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
188.55,92.61,2996,6,Accountant,Normal,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
173.18,86.31,1913,2,Plumber,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
155.32,74.43,1547,0,Mechanic,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
179.15,47.7,1680,5,Teacher,Underweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
156.51,86.5,1627,4,Doctor,Overweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
151.14,103.69,1865,0,Nurse,Underweight,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",HIIT,"High-Intensity Interval Training alternates between short bursts of intense exercise and brief rest periods to maximize calorie burn and improve cardiovascular fitness. Examples include burpees, sprinting, and jump squats. Equipment: None (bodyweight exercises), or optional weights for added resistance."
167.28,82.42,1833,4,Electrician,Underweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
153.57,117.41,1367,5,Artist,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
170.01,90.16,2339,5,Retail Salesperson,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
189.76,94.0,1588,6,Writer,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
173.89,57.43,2859,5,Fitness Trainer,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
160.58,52.73,2284,3,Software Engineer,Normal,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",HIIT,"High-Intensity Interval Training alternates between short bursts of intense exercise and brief rest periods to maximize calorie burn and improve cardiovascular fitness. Examples include burpees, sprinting, and jump squats. Equipment: None (bodyweight exercises), or optional weights for added resistance."
180.92,84.01,1890,0,Writer,Underweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
197.78,41.31,2817,0,Retail Salesperson,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
144.48,118.74,1713,1,Fitness Trainer,Underweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
154.21,77.48,2517,7,Plumber,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
175.64,107.96,1885,5,Construction Worker,Normal,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
176.17,107.7,2460,7,Retail Salesperson,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
140.09,62.01,2442,7,Office Worker,Normal,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
188.88,106.79,2190,3,Retail Salesperson,Normal,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
174.68,46.17,2471,6,Plumber,Normal,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
190.43,72.64,2002,7,Plumber,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
185.67,52.12,1664,2,Nurse,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
191.92,68.37,1307,6,Electrician,Underweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
195.72,57.26,1360,3,Plumber,Underweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
145.46,48.86,2675,1,Graphic Designer,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
152.06,69.32,1370,0,Retail Salesperson,Overweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
186.32,106.19,1305,3,Teacher,Normal,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
161.16,62.07,1574,1,Doctor,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
194.48,105.97,2344,2,Nurse,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",HIIT,"High-Intensity Interval Training alternates between short bursts of intense exercise and brief rest periods to maximize calorie burn and improve cardiovascular fitness. Examples include burpees, sprinting, and jump squats. Equipment: None (bodyweight exercises), or optional weights for added resistance."
145.41,119.43,2915,7,Retail Salesperson,Underweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
166.95,64.93,1341,3,Electrician,Underweight,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
